Jamiro,Paquete de comics,2,2,2,3.0
Jamiro,Paquete de CD's,2,3,2,2.0
Mary,Wii,2,2,2,2.0
Mary,Ps3,3,3,2,2.0
Pedro,Xbox360,1,2,3,2.0
Pedro,Paquete de celulares,3,2,3,2.0
Jamiro,Paquete de teclados,3,2,2,1.0
Mercedes,Paquete DP1,3,2,2,2.0
Mercedes,Paquete de cuadernos,3,3,2,3.0
Mercedes,Libro de algoritmos,2,1,3,3.0
Mercedes,Paquete de libros,3,2,3,3.0
Juan,Paquete de CD's,3,3,3,4.0
Juan,Caja con fuegos artificiales,2,4,4,5.0
Juan,Caja de posters de Kiss,4,5,4,1.0
Juan,Guitarra,2,2,3,3.0
Juan,Bateria,1,3,4,2.0
Manuel,Caja de gorras,3,2,2,2.0
Manuel,Caja de chullos,4,3,3,3.0
Manuel,Caja de discos,2,4,2,4.0
Carmen,Manual de BI,2,3,1,2.0
Carmen,Manual de IA,2,1,2,3.0
Esther,Espada,3,3,3,4.0
Esther,Paquete de flautas,2,3,2,2.0
Esther,Paquete de arcos,3,2,3,2.0
Esther,Paquete de flechas,3,2,2,3.0
Esther,Paquete de lentes,3,2,2,3.0

